system_name,MAP@1,MAP@10,MAP@50,MAP@500,MAP@1000
CL99XT,0.01864340620447198,0.1308510127775225,0.25481967024195795,0.3652228300089011,0.3730346934649617
Dm8TFidf,0.013361869597804206,0.0739516495313931,0.1232220623101197,0.15805743094802463,0.16304201197104062
GE8ATDN2,0.01620735290748228,0.08822219109492734,0.16240413923276356,0.24944476152846026,0.25797044009891584
INQ601,0.011858459827132456,0.08058328561952229,0.15745318991907128,0.2248098998252256,0.23254375540117475
Mer8Adtd2,0.01465554672074514,0.07769508695493171,0.14664077644738235,0.2141321178127695,0.2231325742656442
acsys8alo,0.014282793892599127,0.10123874242017573,0.19168778872434003,0.2835801304249659,0.2935023990038199
acsys8alo2,0.016356064062745198,0.09500696733343225,0.17411430206371045,0.2543257981092093,0.263667604724188
apl8c621,0.017370176442515615,0.10563603802007261,0.20069663468105525,0.3021678112372447,0.3126329888585243
apl8ctd,0.01649491629939477,0.09129434232891225,0.18251159755283367,0.27715377270225094,0.2859879885968066
att99atde,0.014878655883549967,0.0990523482427786,0.2018515129382721,0.307403436245923,0.316549112790725
fub99a,0.01884355936870128,0.10913420551951918,0.19841550282425913,0.29658438754728317,0.3067684517347526
ibms99b,0.016414675647543342,0.08645059433999487,0.17655728817539004,0.26825920760231603,0.2783878870771427
nttd8ale,0.019208031239608115,0.10103638411161259,0.19307181828431086,0.2827531590592873,0.29213840292145127
ok8asxc,0.016911851582435654,0.09609251822374787,0.1826318454523521,0.2706997446970322,0.2786964487230914
pir9Attd,0.017007687615794055,0.10286289598183719,0.206558739335609,0.31036949038161793,0.32066720851404534
